date,committee,question,project,responsible,attendees,theme
2025-05-14,Ateities komitetas,Regioninės raidos planavimas ir valdymas Kviečiami dalyvauti: ​ Lietuvos Respublikos ekonomikos ir inovacijų viceministras Marius Stasiukaitis Akmenės rajono savivaldybės meras Vitalijus Mitrofanovas Tauragės rajono savivaldybės meras Dovydas Kaminskas Klaipėdos rajono savivaldybės vicemeras Vytautas Butkus Lietuvos Respublikos vidaus reikalų ministerijos Regioninės politikos grupės vyriausiasis patarėjas Andrius Valickas Lietuvos socialinių mokslų centro Sociologijos instituto Regionų ir miestų tyrimų skyriaus vadovas dr. Donatas Burneika​,,I.  GelažnikienėE.  KirkutisA.  AugustinaitisM.  Paulauskė,,"State governance, regional policy and public administration"
2025-05-14,Ateities komitetas,Dėl Seimo Ateities komiteto sprendimo dėl Ateities kultūros politikos,,V.  GrubliauskasK.  VilkauskasS.  KairysG.  ViliūnasA.  Grigienė,,Culture
2025-05-14,Ateities komitetas,Kiti klausimai,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-05-07,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  VilkauskasK.  GulbinskienėR.  Varanauskienė,,"State governance, regional policy and public administration"
2025-05-07,Ateities komitetas,"Ateities kultūros politika Kviečiami dalyvauti: ​ Lietuvos Respublikos kultūros ministras Šarūnas Birutis Lietuvos Respublikos Ministro Pirmininko patarėjas kultūros klausimais Matas Drukteinis Lietuvos Respublikos Ministro Pirmininko patarėja kultūros ir UNESCO klausimais Edita Utarienė Lietuvos Respublikos Prezidento Švietimo, mokslo ir kultūros grupės patarėjas Saulius Olencevičius Lietuvos Respublikos Prezidento Švietimo, mokslo ir kultūros grupės vadovė, vyriausioji patarėja Jolanta Karpavičienė Vilniaus universiteto Filosofijos fakulteto dekanas profesorius Jonas Dagys ​",,V.  GrubliauskasK.  VilkauskasS.  KairysG.  ViliūnasA.  GrigienėA.  Jonaitienė,,Culture
2025-04-30,Ateities komitetas,Posėdžio darbotvarkės tvirtinimas,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
2025-04-30,Ateities komitetas,Dėl Valstybės pažangos tarybos sudėties atnaujinimo Kviečiami dalyvauti: ​Ministro Pirmininko patarėjas ryšių su valstybės institucijomis klausimais Tadas Vinokur Vyriausybės kanceliarijos Strateginio valdymo grupės patarėja Modesta Kairytė,,V.  GrubliauskasG.  Viliūnas,,"State governance, regional policy and public administration"
2025-04-30,Ateities komitetas,"Dėl Millenium projekto pristatymo Kviečiami dalyvauti: ​ Vilniaus universiteto Ekonomikos ir verslo
administravimo fakulteto docentė, Millenium projekto grupės Lietuvoje vadovė dr. Erika Vaiginienė ​",,V.  GrubliauskasG.  Viliūnas,,Economic competitiveness and state information resources
2025-04-30,Ateities komitetas,Dėl Seimo Ateities komiteto sprendimo dėl Regionų ministerijos modelio  projekto,,I.  GelažnikienėE.  KirkutisS.  KairysA.  AugustinaitisM.  Paulauskė,,"State governance, regional policy and public administration"
2025-04-30,Ateities komitetas,Kiti klausimai,,V.  GrubliauskasK.  Gulbinskienė,,"State governance, regional policy and public administration"
