date,committee,question,project,responsible,attendees,theme
2025-05-28,Teisės ir teisėtvarkos komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,J.  SabatauskasV.  GailiusJ.  Janušauskienė,,Public finance
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XVP-453,J.  SabatauskasV.  GailiusJ.  Janušauskienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,"Administracinių nusižengimų kodekso 314, 356, 589 straipsnių pakeitimo įstatymo projektas",XIVP-4210,J.  SabatauskasV.  GailiusA.  ŠirinskienėL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XIVP-4210,J.  SabatauskasV.  GailiusA.  ŠirinskienėL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,Administracinių bylų teisenos įstatymo Nr. VIII-1029 156 straipsnio pakeitimo įstatymo projektas,VIII-1029,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Justice
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,VIII-1029,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,"Susirinkimų įstatymo Nr. I-317 4, 6, 7, 8, 9, 12 ir 14 straipsnių pakeitimo įstatymo projektas",I-317,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,,Justice
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Tomas Tomilinas,I-317,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,Savivaldybių ekologinių investicinių vietovių pagrindų įstatymo projektas,GP_XVP-393,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,,"Environment, forests and climate change"
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Kęstutis Vilkauskas,GP_XVP-393,J.  SabatauskasV.  GailiusŽ.  Jerochovienė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,Dėl Seimo nario Raimondo Šukio prašymo pritarti komandiruotei į Portą (Portugalijos Respublika) nuo 2025 m.  nuo birželio 28 d. iki 2025 m. liepos 4d.,,J.  Sabatauskas,,Foreign policy
2025-05-28,Teisės ir teisėtvarkos komitetas,Kiti klausimai,,J.  Sabatauskas,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,2024 m. Europos prokuratūros metinė veiklos ataskaita (,,J.  SabatauskasV.  GailiusG.  BalčytytėA.  BilotaitėR.  ŠukysI.  VėgėlėJ.  JanušauskienėŽ.  JerochovienėD.  Latvelienė,,Justice
2025-05-28,Teisės ir teisėtvarkos komitetas,Saugaus eismo automobilių keliais įstatymo Nr. VIII-2043 2 ir 22 straipsnių pakeitimo įstatymo projektas (TTK siūlo: paprašyti Vyriausybės išvados),VIII-2043,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,Transportation and communications
2025-05-28,Teisės ir teisėtvarkos komitetas,Pateikė Ligita Girskienė,VIII-2043,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,"State governance, regional policy and public administration"
2025-05-28,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 13 straipsnio pakeitimo“ projektasPateikė Indrė Kižienė,,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Konstitucinio Teismo įstatymo Nr. I-67 48 straipsnio pakeitimo įstatymo projektas,I-67,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,Justice
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Agnė Širinskienė,I-67,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Baudžiamojo  kodekso 68-1 ir 228 straipsnių pakeitimo įstatymo projektas,XVP-106,J.  SabatauskasV.  GailiusD.  Latvelienė,,Justice
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Jūratė Zailskienė,XVP-106,J.  SabatauskasV.  GailiusD.  Latvelienė,,Culture
2025-05-21,Teisės ir teisėtvarkos komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  SabatauskasD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Asociacijų įstatymo Nr. IX-1969 11 straipsnio pakeitimo įstatymo projektas,IX-1969,J.  SabatauskasV.  GailiusA.  ŠirinskienėM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Kazys Starkevičius,IX-1969,J.  SabatauskasV.  GailiusA.  ŠirinskienėM.  Civilkienė,,"Land and food farming, rural development and fisheries"
2025-05-21,Teisės ir teisėtvarkos komitetas,Administracinių nusižengimų kodekso 137 straipsnio pakeitimo įstatymo projektas,XVP-292,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Kaimo reikalų komitetas,XVP-292,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,"Land and food farming, rural development and fisheries"
2025-05-21,Teisės ir teisėtvarkos komitetas,"Vartotojų teisių apsaugos įstatymo Nr. I-657 1, 2, 40 straipsnių, aštuntojo skirsnio ir priedo pakeitimo įstatymo projektas",I-657,J.  SabatauskasI.  VėgėlėM.  Civilkienė,,Justice
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,I-657,J.  SabatauskasI.  VėgėlėM.  Civilkienė,,Foreign policy
2025-05-21,Teisės ir teisėtvarkos komitetas,"Civilinio kodekso 6.228-3, 6.228-7, 6.228-10 straipsnių ir priedo pakeitimo įstatymo projektas",XVP-200,J.  SabatauskasI.  VėgėlėM.  Civilkienė,,Justice
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XVP-200,J.  SabatauskasI.  VėgėlėM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Vietos savivaldos įstatymo Nr. I-533 55 straipsnio pakeitimo ir 56 straipsnio pripažinimo netekusiu galios įstatymo projektas,I-533,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Robertas Kaunas,I-533,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Miškų įstatymo Nr. I-671 4 straipsnio pakeitimo įstatymo projektas,I-671,J.  SabatauskasV.  GailiusD.  Latvelienė,,"Environment, forests and climate change"
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Matas Skamarakas,I-671,J.  SabatauskasV.  GailiusD.  Latvelienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 95 straipsnio pakeitimo įstatymo projektas,XIII-2166,J.  SabatauskasV.  GailiusD.  Latvelienė,,"Land and food farming, rural development and fisheries"
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Matas Skamarakas,XIII-2166,J.  SabatauskasV.  GailiusD.  Latvelienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Lietuvos Respublikos Konstitucinio Teismo 2025 m. gegužės 13 d. raštas Nr. G-2025-4362 „Dėl Seimo atstovo paskyrimo“,G-2025-4362,J.  SabatauskasD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Kiti klausimai.,,J.  SabatauskasJ.  Janušauskienė,,"State governance, regional policy and public administration"
2025-05-21,Teisės ir teisėtvarkos komitetas,Dėl veiklos sričių kuravimo.,,J.  SabatauskasJ.  Janušauskienė,,Culture
2025-05-21,Teisės ir teisėtvarkos komitetas,Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,XVP-375,A.  ŠirinskienėI.  VėgėlėD.  Komparskienė,,Justice
2025-05-21,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XVP-375,A.  ŠirinskienėI.  VėgėlėD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-16,Teisės ir teisėtvarkos komitetas,Konstitucinio Teismo įstatymo Nr. I-67 48 straipsnio pakeitimo įstatymo projektas,I-67,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,Justice
2025-05-16,Teisės ir teisėtvarkos komitetas,Pateikė Agnė Širinskienė,I-67,J.  SabatauskasV.  GailiusI.  Leonavičiūtė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  SabatauskasD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,"Seimo nario B. Ropės pasiūlymas ir Teisės departamento išvada dėl Administracinių nusižengimų kodekso 112, 113, 113-1, 351 ir 589 straipsnių pakeitimo įstatymo projekto",XVP-63(2),J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Justice
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Teisės ir teisėtvarkos komitetas,XVP-63(2),J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Public security
2025-05-14,Teisės ir teisėtvarkos komitetas,"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",XI-1503,J.  SabatauskasV.  GailiusA.  BilotaitėD.  Latvelienė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Ignas Vėgėlė,XI-1503,J.  SabatauskasV.  GailiusA.  BilotaitėD.  Latvelienė,,Neatpažinta tema
2025-05-14,Teisės ir teisėtvarkos komitetas,(svarstymas),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektasPateikė Ignas Vėgėlė,,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,XVP-221,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Justice
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Inga Ruginienė,XVP-221,J.  SabatauskasV.  GailiusL.  Zdanavičienė,,Social security and employment
2025-05-14,Teisės ir teisėtvarkos komitetas,"Administracinių nusižengimų kodekso 294, 295, 301 ir 302 straipsnių pakeitimo įstatymo projektas",XVP-32,A.  ŠirinskienėV.  GailiusL.  Zdanavičienė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Kazys Starkevičius,XVP-32,A.  ŠirinskienėV.  GailiusL.  Zdanavičienė,,"Land and food farming, rural development and fisheries"
2025-05-14,Teisės ir teisėtvarkos komitetas,Asociacijų įstatymo Nr. IX-1969 11 straipsnio pakeitimo įstatymo projektas,IX-1969,J.  SabatauskasV.  GailiusA.  ŠirinskienėM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Kazys Starkevičius,IX-1969,J.  SabatauskasV.  GailiusA.  ŠirinskienėM.  Civilkienė,,"Land and food farming, rural development and fisheries"
2025-05-14,Teisės ir teisėtvarkos komitetas,"Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 44, 217, 218 straipsnių, ketvirtojo skirsnio pavadinimo pakeitimo, Statuto papildymo 23-1 straipsniu ir priedu“ projektas",I-399,J.  SabatauskasV.  GailiusM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Saulius Skvernelis,I-399,J.  SabatauskasV.  GailiusM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,"Konstitucinio Teismo 2025-04-17 nutarimas KT21-N5/2025 „Dėl LR civilinio kodekso patvirtinimo, įsigaliojimo ir įgyvendinimo įstatymo 28 straipsnio, LR civilinio kodekso 3.229 straipsnio atitikties LR Konstitucijai“ (prieštarauja)",,J.  SabatauskasD.  Komparskienė,,Justice
2025-05-14,Teisės ir teisėtvarkos komitetas,Kiti klausimai,,J.  Sabatauskas,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,"Asmenų, slapta bendradarbiavusių su buvusios SSRS specialiosiomis tarnybomis, registracijos, prisipažinimo, įskaitos ir prisipažinusiųjų apsaugos įstatymo Nr. VIII-1436 8 straipsnio pakeitimo įstatymo projektas",VIII-1436,J.  SabatauskasV.  GailiusJ.  JanušauskienėD.  Latvelienė,,Justice
2025-05-14,Teisės ir teisėtvarkos komitetas,Pateikė Remigijus Žemaitaitis,VIII-1436,J.  SabatauskasV.  GailiusJ.  JanušauskienėD.  Latvelienė,,Culture
2025-05-14,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),"Asmenų, slapta bendradarbiavusių su buvusios SSRS specialiosiomis tarnybomis, registracijos, prisipažinimo, įskaitos ir prisipažinusiųjų apsaugos įstatymo Nr. VIII-1436 8 straipsnio pakeitimo įstatymo projektasPateikė Arvydas Anušauskas",,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),"Administracinių nusižengimų kodekso 207, 589, 673 straipsnių ir priedo pakeitimo ir Kodekso papildymo 188-6 ir 188-7 straipsniais įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė",,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Administracinių bylų teisenos įstatymo Nr. VIII-1029 156 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-05-14,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Administracinių nusižengimų kodekso 137 straipsnio pakeitimo įstatymo projektasPateikė Kaimo reikalų komitetas,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  SabatauskasD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,Atstovavimo Lietuvos valstybei Europos Žmogaus Teisių Teisme ir Jungtinių Tautų komitetų bylose 2024 m. veiklos ataskaita,,J.  SabatauskasV.  GailiusJ.  JanušauskienėŽ.  Jerochovienė,,Foreign policy
2025-05-07,Teisės ir teisėtvarkos komitetas,"Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 180-20, 200, 201 ir 202 straipsnių pakeitimo“ projektas",I-399,J.  SabatauskasV.  GailiusM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,Pateikė Julius Sabatauskas,I-399,J.  SabatauskasV.  GailiusM.  Civilkienė,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(svarstymas),Konstitucinio Teismo įstatymo Nr. I-67 4 straipsnio pakeitimo įstatymo projektasPateikė Julius Sabatauskas,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,Pareigūnų ir karių valstybinių pensijų įstatymo Nr. I-693 15 straipsnio pakeitimo įstatymo projektas,I-693,J.  SabatauskasV.  GailiusJ.  Janušauskienė,,Social security and employment
2025-05-07,Teisės ir teisėtvarkos komitetas,Pateikė Laurynas Kasčiūnas,I-693,J.  SabatauskasV.  GailiusJ.  Janušauskienė,,State security and defense
2025-05-07,Teisės ir teisėtvarkos komitetas,Seimo nario V. Ąžuolo pasiūlymas dėl Baudžiamojo kodekso 123-1 straipsnio ir priedo pakeitimo įstatymo projekto,XVP-243(2),J.  SabatauskasV.  GailiusD.  Latvelienė,,Justice
2025-05-07,Teisės ir teisėtvarkos komitetas,Pateikė Teisės ir teisėtvarkos komitetas,XVP-243(2),J.  SabatauskasV.  GailiusD.  Latvelienė,,Public security
2025-05-07,Teisės ir teisėtvarkos komitetas,Konstitucinio Teismo 2025-04-10 nutarimas KT19-N4/2025 „Dėl LR pagalbinio apvaisinimo įstatymo 5 straipsnio 3 dalies atitikties LR Konstitucijai“ (prieštarauja),,J.  SabatauskasD.  Komparskienė,,Justice
2025-05-07,Teisės ir teisėtvarkos komitetas,Kiti klausimai,,J.  Sabatauskas,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,"Civilinio proceso kodekso 649, 702, 704 ir 746 straipsnių pakeitimo įstatymo projektas",XVP-300,A.  ŠirinskienėI.  VėgėlėD.  Komparskienė,,Justice
2025-05-07,Teisės ir teisėtvarkos komitetas,Pateikė Lietuvos Respublikos Vyriausybė,XVP-300,A.  ŠirinskienėI.  VėgėlėD.  Komparskienė,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),"Civilinio proceso kodekso 604, 605, 609, 610, 611, 620, 650, 654, 679, 682, 727, 728, 733, 737, 744, 750, 753, 754, 766, 767, 769 ir 778 straipsnių pakeitimo įstatymo Nr. XIII-2721 23 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė",,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),"Civilinio proceso kodekso 82, 108, 145, 192, 590, 593, 596, 601, 602, 609, 610, 611, 614, 624-1, 626, 627, 631, 632, 634, 636, 648, 650, 651, 654, 656, 661, 663, 668, 685, 689, 702, 706, 710, 713, 723, 727, 731, 732, 753, 754, 755 ir 771-1 straipsnių pakeitimo įstatymo Nr. XIV-2317 43 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė",,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Civilinio kodekso 5.53 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),"Civilinio kodekso 4.107, 4.109 ir 6.956 straipsnių pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė",,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Civilinio proceso kodekso 83 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Administracinių nusižengimų kodekso 195 straipsnio pakeitimo įstatymo projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 59-1 straipsnio pakeitimo“ projektasPateikė Lietuvos Respublikos Vyriausybė,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Civilinio kodekso 3.188 straipsnio pakeitimo įstatymo projektas (TTK siūlo: paprašyti Vyriausybės išvados)Pateikė Vitalijus Gailius,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Notariato įstatymo Nr. I-2882 46 straipsnio pakeitimo įstatymo projektas (TTK siūlo: paprašyti Vyriausybės išvados)Pateikė Vitalijus Gailius,,,"State governance, regional policy and public administration"
2025-05-07,Teisės ir teisėtvarkos komitetas,(pasirengimas svarstymui),Asociacijų įstatymo Nr. IX-1969 11 straipsnio pakeitimo įstatymo projektasPateikė Kazys Starkevičius,,,"State governance, regional policy and public administration"
