date,committee,question,project,responsible,attendees,theme
2025-06-11,Audito komitetas,"2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-5 „2024 metų Pensijų anuitetų fondo ataskaitų rinkinio finansinio audito rezultatai“ Kviečiami dalyvauti: ​ Socialinės apsaugos ir darbo ministerijos, Valstybinio socialinio
draudimo fondo valdybos prie Socialinės apsaugos ir darbo ministerijos,
Valstybės kontrolės atstovai ​",FAE-5,R.  JanušonienėJ.  RazmaE.  Šukytė,,Social security and employment
2025-06-11,Audito komitetas,Papildomas (svarstymas),Seimo nutarimo „Dėl 2024 metų Pensijų anuitetų fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,,,"State governance, regional policy and public administration"
2025-06-11,Audito komitetas,"Dėl darniųjų viešųjų pirkimų Kviečiami dalyvauti: ​ Viešųjų pirkimų tarnybos, Aplinkos, Ekonomikos
ir inovacijų, Socialinės apsaugos ir darbo ministerijų, Valstybės kontrolės
atstovai ​",,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  KeršienėD.  AndriūnaitėL.  Pranaitytė,,"Environment, forests and climate change"
2025-06-11,Audito komitetas,"Kiti klausimai:
1. Dėl 2025 m. birželio 3 d. Valstybės kontrolės Lietuvos vidutinės trukmės laikotarpio fiskalinio struktūrinio plano dalies vertinimo svarstymo ir kuratorių paskyrimo;
2. Dėl komiteto susitikimo su EBPO ekspertais;
3. Dėl kito komiteto posėdžio,",,A.  SkardžiusL.  Pranaitytė,,Public finance
2025-06-04,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-06-04,Audito komitetas,"2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-2 „2024 metų valstybės ataskaitų rinkinio finansinio audito rezultatai“ Kviečiami dalyvauti: ​ Vyriausybės kanceliarijos, Finansų, Aplinkos, Kultūros, Teisingumo
ministerijų, Valstybės kontrolės atstovai",FAE-2,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,,Public finance
2025-06-04,Audito komitetas,Papildomas (svarstymas),Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,,,"State governance, regional policy and public administration"
2025-06-04,Audito komitetas,"Konkurencijos tarybos 2024 m. veiklos ataskaitos ir kitos aktualios informacijos pristatymas Kviečiami dalyvauti: ​ Konkurencijos tarybos, Ekonomikos ir inovacijų
ministerijos, Vidaus reikalų ministerijos atstovai ​",,A.  SkardžiusA.  ZuokasE.  Šukytė,,Economic competitiveness and state information resources
2025-06-04,Audito komitetas,"2025 m. balandžio 25 d. valstybinio audito išvada ir ataskaita Nr. FAE-1 „2014–2020 m. Europos Sąjungos fondų investicijų veiksmų programos įgyvendinimui sukurtos valdymo ir kontrolės sistemos veikimo, sąskaitose pateiktos informacijos ir 2023 m. liepos 1 d. -2024 m. birželio 30 d. laikotarpiu deklaruotų išlaidų, kurias Europos komisijos prašoma atlyginti, vertinimas (kontrolės ataskaita pagal Europos Parlamento ir Tarybos reglamento (ES) Nr. 1303/2013 127 straipsnį)"" Kviečiami dalyvauti: ​ Finansų ministerijos, Inovacijų agentūros, Ekonomikos ir inovacijų
ministerijos, Finansinių nusikaltimų tyrimo tarnybos prie VRM, Specialiųjų
tyrimų tarnybos, Valstybės kontrolės atstovai ​",FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,,Public finance
2025-06-04,Audito komitetas,"Kiti klausimai:
1. Dėl 2025 m. gegužės 20 d. Valstybės kontrolės apžvalgos Nr. VRE-3 „Viešojo sektoriaus darbuotojų darbo užmokesčio apžvalga“ svarstymo ir kuratorių paskyrimo;
2. Dėl išvadų rengėjų paskyrimo;
3. Dėl kito komiteto posėdžio",VRE-3,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-28,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-28,Audito komitetas,"Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas Kviečiami dalyvauti: ​ Seimo Energetikos ir darnios plėtros komisijos, Valstybės kontrolės
atstovai ​",XVP-333,R.  VyžintasA.  ZuokasD.  Andriūnaitė,,Public finance
2025-05-28,Audito komitetas,"Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Seimo narys A. Bagdonas, Socialinės apsaugos ir darbo ministerijos,
Finansų ministerijos atstovai ​",XII-717,V.  AleknaR.  JanušonienėD.  Andriūnaitė,,Social security and employment
2025-05-28,Audito komitetas,"Labdaros ir paramos įstatymo Nr. I-172 7 straipsnio 1-1 dalies pakeitimo įstatymo projektas Kviečiami dalyvauti: ​ Seimo nariai A, Radvilavičius, V. Turauskaitė, A. Anušauskas, Finansų
ministerijos atstovai ​",I-172,R.  JanušonienėV.  AleknaA.  BuragienėD.  Keršienė,,Public finance
2025-05-28,Audito komitetas,"2025 m. balandžio 4 d. ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“ Kviečiami dalyvauti: ​ Ekonomikos ir inovacijų, Finansų, Valstybės
kontrolės, UAB ILTE atstovai ​",VAE-2,R.  JanušonienėJ.  RazmaA.  BuragienėD.  Andriūnaitė,,Public finance
2025-05-28,Audito komitetas,"Vyriausiosios tarnybinės etikos komisijos pranešimas „Kai daroma įtaka teisėkūrai, bet tai nelaikoma lobistine veikla – kodėl?“ Kviečiami dalyvauti: ​ Vyriausiosios tarnybinės etikos komisijos atstovai ​",,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  AndriūnaitėD.  KeršienėL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-28,Audito komitetas,"Dėl Seimo statuto „Dėl Lietuvos Respublikos Seimo statuto Nr. I-399 44, 217, 218 straipsnių, ketvirtojo skirsnio pavadinimo pakeitimo, statuto papildymo 231 straipsniu ir priedu“ projektu Nr. XVP-373 siūlomo teisinio reguliavimo",I-399; XVP-373,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-28,Audito komitetas,"Kiti klausimai:
1. Dėl valstybinio audito ataskaitų, išvadų svarstymo ir kuratorių paskyrimo;
2. Dėl išvadų rengėjų paskyrimo;
3. Dėl kito komiteto posėdžio.",,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-21,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-21,Audito komitetas,"2025 m. balandžio 25 d. valstybinio audito išvada ir ataskaita Nr. FAE-1 „2014–2020 m. Europos Sąjungos fondų investicijų veiksmų programos įgyvendinimui sukurtos valdymo ir kontrolės sistemos veikimo, sąskaitose pateiktos informacijos ir 2023 m. liepos 1 d.– 2024 m. birželio 30 d. laikotarpiu deklaruotų išlaidų, kurias Europos Komisijos prašoma atlyginti, vertinimas (kontrolės ataskaita pagal Europos Parlamento ir Tarybos reglamento (ES) Nr. 1303/2013 127 straipsnį)“ Kviečiami dalyvauti: ​ VšĮ Centrinės projektų valdymo agentūros, Viešųjų pirkimų tarnybos, Finansų
ministerijos, Ekonomikos ir inovacijų ministerijos, Finansinių nusikaltimų
tyrimo tarnybos prie VRM, Specialiųjų tyrimų tarnybos, Valstybės kontrolės, VšĮ Inovacijų agentūr os ​atstovai ​",FAE-1; 1303/2013,A.  SkardžiusA.  ZuokasA.  Buragienė,,Public finance
2025-05-21,Audito komitetas,2025 m. balandžio 25 d. ataskaita Nr. VAE-3 „VĮ Turto banko veikla teikiant valstybės nekilnojamojo turto valdymo ir priežiūros paslaugas“,VAE-3,R.  JanušonienėJ.  RazmaE.  Šukytė,,"State governance, regional policy and public administration"
2025-05-21,Audito komitetas,"Kiti klausimai:
1. Dėl valstybinio audito ataskaitų svarstymo ir kuratorių paskyrimo;
2. Dėl kito komiteto posėdžio",,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-21,Audito komitetas,"Centralizuotai valdomo valstybės turto valdytojo įstatymo Nr. XII-791 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​ Finansų ministerijos, VĮ Turto banko, Konkurencijos tarybos, Specialiųjų
tyrimų tarnybos, Lietuvos savivaldybių asociacijos, Valstybės kontrolės
atstovai ​",XII-791,R.  JanušonienėJ.  RazmaD.  Keršienė,,"State governance, regional policy and public administration"
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 pakeitimo įstatymo projektas (nauja redakcija)",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 5, 6, 10, 12, 14, 15, 16, 19, 20, 21, 24 straipsnių pakeitimo ir 18 straipsnio pripažinimo netekusiu galios įstatymo Nr. XIII-2398 13 straipsnio pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Mokesčių administravimo įstatymo Nr. IX-2112 33, 39 ir 93 straipsnių pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),Valstybinio socialinio draudimo įstatymo Nr. I-1336 32 straipsnio pakeitimo įstatymo projektas,,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Valstybei ir savivaldybėms priklausančių akcijų privatizavimo įstatymo Nr. VIII-480 2, 4, 5, 6, 7, 10, 11, 13, 14 ir 22 straipsnių pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Žemės įstatymo Nr. I-446 7, 9 ir 11 straipsnių pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 36 straipsnio pakeitimo įstatymo projektas,,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Valstybės skolos įstatymo Nr. I-1508 3, 8 ir 9 straipsnių pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 14 ir 15 straipsnių pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-21,Audito komitetas,Pagrindinis (klausymai),"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 2 ir 14 straipsnių pakeitimo įstatymo projektas",,,Transportation and communications
2025-05-14,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-14,Audito komitetas,"Viešųjų pirkimų tarnybos 2024 m. veiklos ataskaitos pristatymas Kviečiami dalyvauti: ​ Viešųjų pirkimų tarnybos, Ekonomikos ir inovacijų ministerijos atstovai ​",,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasD.  KeršienėL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-14,Audito komitetas,"2025 m. balandžio 25 d. atsakaita Nr. VAE-3 „VĮ Turto banko veikla teikiant valstybės nekilnojamojo turto valdymo ir priežiūros paslaugas“ Kviečiami dalyvauti: ​ VĮ Turto bankas, Finansų minsiterijos atstovai ​",VAE-3,R.  JanušonienėJ.  RazmaE.  Šukytė,,"State governance, regional policy and public administration"
2025-05-14,Audito komitetas,"Kiti klausimai:
1. Dėl pasirengimo svarstyti Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektą Nr. XVP-333;
2. Dėl kito komiteto posėdžio",XVP-333,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-07,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-05-07,Audito komitetas,"2025 m. balandžio 4 d. ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“ Kviečiami dalyvauti: ​ Aplinkos,
Energetikos, Ekonomikos ir inovacijų, Finansų, Krašto apsaugos, Kultūros,
Socialinės apsaugos ir darbo, Žemės ūkio ministerijų, Valstybės kontrolės, UAB
ILTE atstovai ​",VAE-2,R.  JanušonienėJ.  RazmaA.  Buragienė,,Public finance
2025-05-07,Audito komitetas,"VĮ Turto bankas 2024 m. veiklos ataskaitos ir kitos aktualios informacijos pristatymas Kviečiami dalyvauti: ​ VĮ Turto banko, Finansų ministerijos atstovai ​",,A.  SkardžiusJ.  RazmaR.  JanušonienėK.  PodolskisV.  AleknaR.  VyžintasA.  ZuokasE.  ŠukytėD.  Keršienė,,Public finance
2025-05-07,Audito komitetas,"Kiti klausimai:
1. Dėl pasirengimo svarstyti įstatymų projektus (projektų paketas Nr. XVP-312 – XVP-324, XVP-334, XVP-297);
2-4. Dėl valstybinio audito ataskaitų svarstymo ir kuratorių paskyrimo; 
5. Dėl Europos Audito Rūmų narės L. L. Andrikienės kvietimo Audito ir Europos reikalų komitetų narių delegacijai lankytis Europos Audito Rūmuose;
6. Dėl kito komiteto posėdžio",XVP-312,A.  SkardžiusL.  Pranaitytė,,Public finance
2025-04-16,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-04-16,Audito komitetas,"2024 m. gruodžio 17 d. išorinių peržiūrų apibendrinimo ataskaita Nr. IPE-12 Savivaldybių kontrolės ir audito tarnybų atliktų auditų išorinių peržiūrų rezultatai (parlamentinė kontrolė) Kviečiami dalyvauti: ​ Valstybės kontrolės, Savivaldybių kontrolierių asociacijos atstovai ​",IPE-12,R.  JanušonienėJ.  RazmaD.  Andriūnaitė,,"State governance, regional policy and public administration"
2025-04-16,Audito komitetas,A.  Skardžius J.  Razma V.  Alekna R.  Janušonienė K.  Podolskis R.  Vyžintas A.  Zuokas A.  Buragienė D.  Andriūnaitė L.  Pranaitytė,,,,"State governance, regional policy and public administration"
2025-04-16,Audito komitetas,"Dėl lėšų, skirtų institucijų veiklos viešinimui (parlamentinė kontrolė) Kviečiami dalyvauti: ​ Aplinkos, Ekonomikos ir inovacijų, Finansų, Krašto
apsaugos, Kultūros, Socialinės apsaugos ir darbo, Sveikatos apsaugos, Švietimo
mokslo ir sporto, Vidaus reikalų, Žemės ūkio ministerijų, Valstybės
skaitmeninių sprendimų agentūros, Vyriausybės kanceliarijos ir viešosios
įstaigos „Lietuvos nacionalinis radijas ir televizija“atstovai ​",,A.  SkardžiusE.  Šukytė,,"State governance, regional policy and public administration"
2025-04-16,Audito komitetas,Dėl pasirengimo svarstyti Seimo nutarimo „Dėl Irenos Segalovičienės skyrimo Lietuvos Respublikos valstybės kontroliere“ projektą Nr. XVP-311,XVP-311,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-04-16,Audito komitetas,L.  Pranaitytė,,,,Culture
2025-04-16,Audito komitetas,"Dėl asignavimų valdytojų išlaidų teisinėms paslaugoms (parlamentinė kontrolė, svarstymo tęsinys)",,A.  SkardžiusA.  ZuokasD.  AndriūnaitėL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-04-16,Audito komitetas,Dėl kreipimųsi susijusių su Nacionalinės Lietuvos energetikos asociacijos veikla (parlamentinė kontrolė),,A.  SkardžiusD.  AndriūnaitėD.  Keršienė,,Energy
2025-04-16,Audito komitetas,"Kiti klausimai:
1. Dėl 2025 m. balandžio 4 d. valstybinio audito ataskaita Nr. VAE-2 „Finansinių priemonių (paskolų, garantijų, rizikos kapitalo investicijų) taikymas teikiant valstybės paramą“ svarstymo ir kuratorių paskyrimo;
2. Dėl Seimo nario A. Zuoko prašymo pritarti jo dalyvavimui Lietuvos Respublikos Seimo ir Lenkijos Respublikos Seimo ir Senato narių asamblėjos XXV sesijoje Varšuvoje (Lenkijos Respublika) 2025 m. birželio 5-7 dienomis;
3. Dėl kito komiteto posėdžio",VAE-2,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-04-09,Audito komitetas,Posėdžio darbotvarkės tvirtinimas,,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
2025-04-09,Audito komitetas,Valstybės kontrolės 2024 m. veiklos ataskaita Kviečiami dalyvauti: ​Valstybės kontrolės atstovai,,A.  SkardžiusJ.  RazmaV.  AleknaR.  JanušonienėK.  PodolskisR.  VyžintasA.  ZuokasD.  Andriūnaitė,,"State governance, regional policy and public administration"
2025-04-09,Audito komitetas,Seimo nutarimo „Dėl pavedimo Lietuvos Respublikos valstybės kontrolei atlikti valstybinį auditą“ projektas,XVP-105,R.  JanušonienėA.  ZuokasA.  BuragienėD.  Keršienė,,Public finance
2025-04-09,Audito komitetas,"Dėl asignavimų valdytojų išlaidų teisinėms paslaugoms Kviečiami dalyvauti: ​ Aplinkos, Ekonomikos ir inovacijų, Energetikos, Finansų,
Kultūros,  Socialinės apsaugos ir darbo, Susisiekimo,
Teisingumo, ministerijų, Valstybės kontrolės, Viešųjų pirkimų tarnybos atstovai ​",,A.  SkardžiusA.  ZuokasE.  ŠukytėD.  Andriūnaitė,,"State governance, regional policy and public administration"
2025-04-09,Audito komitetas,"Kiti klausimai:
1. Dėl pasirengimo svarstyti įstatymų projektus;
2. Dėl kito komiteto posėdžio",,A.  SkardžiusL.  Pranaitytė,,"State governance, regional policy and public administration"
