date,committee,question,project,responsible,attendees,theme
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 8 ir 10 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. Seimo narė Roma Janušonienė; 2. Socialinės apsaugos ir darbo ministerija; 3.  Nacionalinė NVO koalicija; 4. NVO teisės institutas. ​,XII-717,M.  KatelynasA.  PetrošiusG.  Lukošiūnienė,,"State governance, regional policy and public administration"
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos pirmininkavimo Europos Sąjungos Tarybai 2027 metais"" projektas",XVP-586,D.  GriškevičiusV.  RakutisR.  Mačiulytė,,"State governance, regional policy and public administration"
2025-06-18,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,"Tyrimo ""Savivaldybių veiklos kultūros paveldo apsaugos srityje 2023 metais"" pristatymas",,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaM.  GureckienėD.  Pukytė,,Culture
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Kultūros politika regionuose kaip atskirties mažinimas,,K.  VilkauskasV.  JuozapaitisK.  BiliusR.  JuškaA.  JonaitienėD.  Pukytė,,Culture
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  VilkauskasK.  BiliusR.  VaranauskienėK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,"Vietos savivaldos įstatymo Nr. I-533 3, 12 ir 22 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. ​Lietuvos savivaldybių asociacija; 2. Vyriausybės atstovų įstaiga; 3. Vidaus reikalų ministerija. ​",I-533,D.  ŽebelienėR.  TamašunienėA.  PetrošiusD.  Masaitienė,,"State governance, regional policy and public administration"
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Pagrindinis (svarstymas),Vietos savivaldos įstatymo Nr. I-533 3 ir 17 straipsnių pakeitimo įstatymo projektasKviečiami dalyvauti:1. Seimo narys Mindaugas Lingė;2. ​Lietuvos savivaldybių asociacija;3.Vyriausybės atstovų įstaiga;​4. Vidaus reikalų ministerija.,,,"Education, science and sport"
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Vyriausiosios tarnybinės etikos komisijos įstatymo Nr. X-1666 18 ir 29 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausioji tarnybinės etikos komisija; 2. Valstybinė duomenų apsaugos inspekcija; 3. Teisingumo ministerijos Europos Sąjungos teisės grupė.,X-1666,T.  BarauskasV.  ŠeršniovasG.  Lukošiūnienė,,Justice
2025-06-11,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,"Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas Kviečiami dalyvauti: ​1. Finansų ministerija, 2. Vidaus reikalų ministerija, 3. Valstybės kontrolė.",XVP-453,T.  BarauskasR.  JuškaR.  Mačiulytė,,Public finance
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,Ataskaitų išklausymas,2025 m. gegužės 15 d. valstybinio audito ataskaita Nr. FAE-2 „2024 metų valstybės ataskaitų rinkinio finansinio audito rezultatai“Kviečiami dalyvauti:​1. Valstybės kontrolė.,,,"State governance, regional policy and public administration"
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,Nevyriausybinių organizacijų plėtros įstatymo Nr. XII-717 10 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narys Andrius Bagdonas; 2. Socialinės apsaugos ir darbo ministerija; 3. Finansų ministerija; 4. Nacionalinė NVO koalicija; 5. NVO teisės institutas.,XII-717,M.  KatelynasA.  PetrošiusG.  Lukošiūnienė,,Social security and employment
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,"Rinkimų kodekso patvirtinimo, įsigaliojimo ir įgyvendinimo konstitucinio įstatymo Nr. XIV-1381 79 ir 80 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: 1. Vyriausioji rinkimų komisija; 2. Valstybinė duomenų apsaugos inspekcija; 3. Teisingumo ministerija; 4. Seimo narys Viktoras Fiodorovas.",XIV-1381,T.  BarauskasR.  JuškaR.  Mačiulytė,,"State governance, regional policy and public administration"
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,Rinkimų kodekso 89 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Vyriausioji rinkimų komisija; 2. Teisingumo ministerija; 3. Seimo narys Antanas Nedzinskas.,XVP-41,T.  BarauskasR.  JuškaR.  Mačiulytė,,"State governance, regional policy and public administration"
2025-06-04,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-02,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-06-02,Valstybės valdymo ir savivaldybių komitetas,Valstybės gynybos fondo įstatymo Nr. XIV-2775 2 ir 4 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Lietuvos savivaldybių asociacija; 2. Finansų ministerija; 3. Seimo narė Gintarė Skaistė.,XIV-2775,K.  BiliusV.  ŠeršniovasM.  KatelynasD.  MasaitienėG.  Lukošiūnienė,,State security and defense
2025-06-02,Valstybės valdymo ir savivaldybių komitetas,"Nekilnojamojo turto mokesčio įstatymo Nr. X-233 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​1. Lietuvos savivaldybių asociacija; 2. Finansų ministerija;​ 3. Seimo nariai: Algirdas Sysas, Arūnas Skardžius, Bronis Ropė, Gintarė Skaistė, Karolis Neimantas, Martynas Gedvilas, Tomas Tomilinas, Viktoras Fiodorovas.",X-233,K.  BiliusV.  ŠeršniovasM.  KatelynasD.  MasaitienėG.  Lukošiūnienė,,Public finance
2025-06-02,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 pakeitimo įstatymo projektas (nauja redakcija) Kviečiami dalyvauti: ​1. Finansų ministerija; 2. Lietuvos savivaldybių asociacija; 3. Seimo Audito komitetas.",VIII-729,S.  LuščikasR.  JuškaD.  Pukytė,,Public finance
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,Papildomas (svarstymas),"Valstybės ir savivaldybių turto valdymo, naudojimo ir disponavimo juo įstatymo Nr. VIII-729 5, 6, 10, 12, 14, 15, 16, 19, 20, 21, 24 straipsnių pakeitimo ir 18 straipsnio pripažinimo netekusiu galios įstatymo Nr. XIII-2398 13 straipsnio pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,Papildomas (svarstymas),"Valstybei ir savivaldybėms priklausančių akcijų privatizavimo įstatymo Nr. VIII-480 2, 4, 5, 6, 7, 10, 11, 13, 14 ir 22 straipsnių pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,Papildomas (svarstymas),"Žemės įstatymo Nr. I-446 7, 9 ir 11 straipsnių pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-05-21,Valstybės valdymo ir savivaldybių komitetas,Savivaldybių pasirengimas ekstremalioms situacijoms ar karo metui ( uždaras ) Kviečiami dalyvauti: 1. Nacionalinis krizių valdymo centras; 2. Vidaus reikalų ministerija; 3. Priešgaisrinės apsaugos ir gelbėjimo departamentas prie VRM; 4. Mobilizacijos ir pilietinio pasipriešinimo departamentas prie KAM; 5. Lietuvos savivaldybių asociacija.​,,K.  BiliusV.  RakutisD.  Masaitienė,,Public security
2025-05-07,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-05-07,Valstybės valdymo ir savivaldybių komitetas,"Mobilizacijos ir priimančiosios šalies paramos įstatymo Nr. I-1623 8, 10 ir 14 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​1. Seimo narė Dovilė Šakalienė; 2. Krašto apsaugos ministerija; 3. Vidaus reikalų ministerija; 4. Lietuvos savivaldybių asociacija.",I-1623,V.  TurauskaitėV.  RakutisA.  Balčiūnaitytė,,State security and defense
2025-05-07,Valstybės valdymo ir savivaldybių komitetas,Viešojo valdymo sektoriaus darbuotojų įsitraukimo tyrimo rezultatų pristatymas Kviečiami dalyvauti: ​Vidaus reikalų ministerija.,,K.  BiliusA.  Balčiūnaitytė,,"State governance, regional policy and public administration"
2025-05-07,Valstybės valdymo ir savivaldybių komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos vyriausiosios rinkimų komisijos sudarymo“ projektas Kviečiami dalyvauti: ​ 1 . Kandidatė į VRK pirmininkes Lina Petronienė ​; 2. Kandidatai į VRK narius: Jolita Baušytė; Giedrius Janauskas; Edita Karčiauskienė; Olga Kilkinova; Laura Martinaitytė; Laura Matjošaitytė; Gitana Matiekuvienė; Justas Pankauskas; Maksimas Reznikovas; Agnė Silickienė; Birutė Strimaitytė; Andrius Vaišnys.,XVP-383,K.  BiliusR.  JuškaR.  Mačiulytė,,"State governance, regional policy and public administration"
2025-05-07,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-04-30,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-04-30,Valstybės valdymo ir savivaldybių komitetas,"Melioracijos įstatymo Nr. I-323 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo VI skyriumi įstatymo projektas Kviečiami dalyvauti: 1. ​Žemės ūkio ministerija; 2. Seimo narys Simonas Gentvilas.",I-323,K.  BiliusV.  RakutisD.  Pukytė,,"Land and food farming, rural development and fisheries"
2025-04-30,Valstybės valdymo ir savivaldybių komitetas,Vyriausiosios rinkimų komisijos veiklos ataskaita apie 2024 m. spalio 13 d. Lietuvos Respublikos Seimo rinkimus. Kviečiami dalyvauti: ​Vyriausioji rinkimų komisija.,,K.  BiliusR.  Mačiulytė,,"State governance, regional policy and public administration"
2025-04-30,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-04-16,Valstybės valdymo ir savivaldybių komitetas,Posėdžio darbotvarkės tvirtinimas,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
2025-04-16,Valstybės valdymo ir savivaldybių komitetas,"2024 m. gruodžio 17 d. išorinių peržiūrų apibendrinimo ataskaita Nr. IPE-12 Savivaldybių kontrolės ir audito tarnybų atliktų auditų išorinių peržiūrų rezultatai Kviečiami dalyvauti: 1. Valstybės kontrolė; 2. Savivaldybių
kontrolierių asociacija.",IPE-12,V.  TurauskaitėA.  Balčiūnaitytė,,"State governance, regional policy and public administration"
2025-04-16,Valstybės valdymo ir savivaldybių komitetas,Seimo Kanceliarijos Teisės departamento veiklos pristatymas Kviečiami dalyvauti: ​Seimo Kanceliarijos Teisės departamento​ direktorius Dainius Zebleckis.,,K.  BiliusK.  Šimkutė,,Justice
2025-04-16,Valstybės valdymo ir savivaldybių komitetas,Kiti klausimai,,K.  BiliusK.  Šimkutė,,"State governance, regional policy and public administration"
