date,committee,question,project,responsible,attendees,theme
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 6, 8, 13, 15, 22, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-10 ir 37 straipsnių pakeitimo ir Įstatymo priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 6, 8 straipsnių ir priedo pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 7, 29, 30 ir 31 straipsnių pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 4, 5, 6, 22, 29, 30, 32, 33 straipsnių pakeitimo ir papildymo 5-1 straipsniu įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,,,Public finance
2025-05-28,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Seimo nutarimo „Dėl 2024 metų Valstybės socialinių fondų metinių ataskaitų rinkinio patvirtinimo“ projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Seimo nutarimo „Dėl 2024 metų Pensijų anuitetų fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Valstybinio socialinio draudimo įstatymo Nr. I-1336 32 straipsnio pakeitimo ir Įstatymo papildymo 40-1 straipsniu įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-28,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-23,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,,Justice
2025-05-23,Socialinių reikalų ir darbo komitetas,(klausymai),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,,Justice
2025-05-23,Socialinių reikalų ir darbo komitetas,(klausymai),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,,Justice
2025-05-23,Socialinių reikalų ir darbo komitetas,(klausymai),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,,Justice
2025-05-23,Socialinių reikalų ir darbo komitetas,(klausymai),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,,Justice
2025-05-23,Socialinių reikalų ir darbo komitetas,(klausymai),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,,Justice
2025-05-21,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-21,Socialinių reikalų ir darbo komitetas,Darbo kodekso 123 straipsnio pakeitimo įstatymo projektas,XVP-97,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,,Social security and employment
2025-05-21,Socialinių reikalų ir darbo komitetas,(svarstymas),Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-21,Socialinių reikalų ir darbo komitetas,Biudžetinių įstaigų darbuotojų darbo apmokėjimo ir komisijų narių atlygio už darbą įstatymo Nr. XIII-198 2 priedo pakeitimo įstatymo projektas,XIII-198,L.  KukuraitisP.  KuzmickienėI.  Kuodienė,,Social security and employment
2025-05-21,Socialinių reikalų ir darbo komitetas,Dėl Nacionalinės šeimos tarybos 2024 m. veiklos ataskaitos ir tarybos parengto metinio pranešimo,,L.  KukuraitisA.  Kazlauskienė,,Social security and employment
2025-05-21,Socialinių reikalų ir darbo komitetas,"Finansinės paskatos pirmąjį būstą įsigyjančioms jaunoms šeimoms įstatymo Nr. XIII-1281 3, 5, 6 ir 9 straipsnių pakeitimo įstatymo projektas",XIII-1281,,,Public finance
2025-05-21,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,"Užimtumo įstatymo Nr. XII-2470 1, 12, 16, 20, 22, 24, 28, 29, 30, 31, 36, 37, 38, 39-1, 40, 44, 46, 47, 48, 48-1 straipsnių ir priedo pakeitimo ir Įstatymo papildymo 39-2, 39-3 ir 48-2 straipsniais įstatymo Nr. XIV-1106 25 straipsnio pakeitimo įstatymo projektas",XII-2470; XIV-1106,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,,Social security and employment
2025-05-14,Socialinių reikalų ir darbo komitetas,"Vyriausybės pateiktų įstatymų projektų, kuriais siūloma pertvarkyti  II pensijų kaupimo pakopą, pristatymas",,L.  KukuraitisD.  Jonėnienė,,Social security and employment
2025-05-14,Socialinių reikalų ir darbo komitetas,Dėl asmenų su negalia socialinės integracijos sistemos pokyčių įgyvendinimo,,L.  KukuraitisD.  Aleksejūnienė,,Social security and employment
2025-05-14,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,,,Justice
2025-05-14,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-14,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,Paramos būstui įsigyti ar išsinuomoti įstatymo Nr. XII-1215 12 ir 13 straipsnių pakeitimo įstatymo projektas,XII-1215,L.  KukuraitisE.  RudelienėD.  Aleksejūnienė,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,,Justice
2025-05-07,Socialinių reikalų ir darbo komitetas,(svarstymas),Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,(svarstymas),"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,(svarstymas),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,(svarstymas),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-05-07,Socialinių reikalų ir darbo komitetas,Garantijų darbuotojams jų darbdaviui tapus nemokiam ir ilgalaikio darbo išmokų įstatymo Nr. XII-2604 9 straipsnio pakeitimo įstatymo projektas,XII-2604,,,Social security and employment
2025-05-07,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-04-30,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-04-30,Socialinių reikalų ir darbo komitetas,PASIŪLYMAS DĖL KOMISIJOS IR TARYBOS BENDROS UŽIMTUMO,"ES-2025-9, COM/2024/701",D.  Aleksejūnienė,,Social security and employment
2025-04-30,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-04-23,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-04-23,Socialinių reikalų ir darbo komitetas,Socialinių paslaugų įstatymo Nr. X-493 pakeitimo įstatymo Nr. XIV-2357 6 straipsnio pakeitimo įstatymo projektas,X-493; XIV-2357,J.  ZailskienėE.  KirkutisD.  Aleksejūnienė,,Social security and employment
2025-04-23,Socialinių reikalų ir darbo komitetas,"Valstybės kontrolės 2025-02-20 ataskaita Nr. VRE-2 „Valdžios sektoriaus finansų tvarumo 2025–2050 m. vertinimas""",VRE-2,D.  Jonėnienė,,Public finance
2025-04-23,Socialinių reikalų ir darbo komitetas,Seimo kanceliarijos Teisės departamento veiklos pristatymas - susitikimas su Seimo Kanceliarijos Teisės departamento​ direktoriumi Dainiumi Zebleckiu,,,,Justice
2025-04-23,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-04-16,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,,Justice
2025-04-16,Socialinių reikalų ir darbo komitetas,(klausymai),Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,,,Justice
2025-04-16,Socialinių reikalų ir darbo komitetas,(klausymai),"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",,,Justice
2025-04-16,Socialinių reikalų ir darbo komitetas,(klausymai),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,,Justice
2025-04-16,Socialinių reikalų ir darbo komitetas,(klausymai),Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-04-16,Socialinių reikalų ir darbo komitetas,"Mokslo ir studijų įstatymo Nr. XI-242 8, 72 straipsnių pakeitimo įstatymo projektas",XI-242,,,"Education, science and sport"
2025-04-16,Socialinių reikalų ir darbo komitetas,(pasirengimas svarstymui),Darbo kodekso 57 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
2025-04-16,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,,"State governance, regional policy and public administration"
2025-04-02,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,J.  RojakaL.  KukuraitisV.  Aleknavičienė,,"State governance, regional policy and public administration"
2025-04-02,Socialinių reikalų ir darbo komitetas,Dėl vaikų saugumo socialiniuose tinkluose,,J.  RojakaL.  KukuraitisV.  AleknavičienėJ.  Krumplytė-OženkoA.  KazlauskienėL.  Vingrytė,,Transportation and communications
2025-04-02,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,J.  RojakaL.  KukuraitisV.  AleknavičienėJ.  Krumplytė-OženkoA.  KazlauskienėL.  Vingrytė,,"State governance, regional policy and public administration"
2025-04-02,Socialinių reikalų ir darbo komitetas,Darbo kodekso 123 straipsnio pakeitimo įstatymo projektas,XVP-97,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,,Social security and employment
2025-04-02,Socialinių reikalų ir darbo komitetas,(klausymai),Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,,,"State governance, regional policy and public administration"
